config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,what circuit court is maryland,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,5.026510639999742,7.381127693000053,0,0,1.0,0.3559866493140218,1.0,0.8333333332916666,1.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,What happened during the Starving Time in Jamestown?,There is scientific evidence that the settlers at Jamestown had turned to cannibalism during the starving time.,I cannot answer from the provided context.,1.06369078500029,1.1686245149999195,0,0,1.0,0.0,0.12943022995334919,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,how many members are in the house of representatives,The total number of voting representatives is fixed by law at 435.,The total number of voting representatives is fixed at 435.,4.038898101000086,4.24779063699998,0,0,1.0,0.778106846957577,0.9950439349970018,0.7499999999625,1.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Where Elephants Live,"Elephants are scattered throughout sub-Saharan Africa , and South and Southeast Asia .",I cannot answer from the provided context.,0.4558918630000335,0.5843188740000187,0,0,0.0,0.0,0.12977788095590756,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,WHAT IS A FY QUARTER,"A fiscal year (or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations.",I cannot answer from the provided context.,2.7167606090001755,2.797628619000079,0,0,1.0,0.0,0.11988070130807518,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,what is homebrew for wii,"In more general terms, Wii Homebrew refers to the use of the Wii 's hardware, accessories and software for purposes outside those intended by the manufacturer.",I cannot answer from the provided context.,4.6486887979999665,4.75055432299996,0,0,0.0,0.0,0.13112228669646722,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Who was Daniel J Daly?,"Sergeant Major Daniel Joseph ""Dan"" Daly (November 11, 1873 – April 27, 1937) was a United States Marine and one of only nineteen men (including seven Marines) to have received the Medal of Honor twice",I cannot answer from the provided context.,0.8661181369998303,3.0166860889999043,0,0,1.0,0.0,0.12223296458135294,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,when did marlins start,The Miami Marlins began play in the 1993 season as the Florida Marlins.,The Florida Marlins debuted in 1993.,4.450123128999621,4.555641476999881,0,0,1.0,0.540568753473863,0.706883108489726,0.4166666666458333,1.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,what is the ingredient in mustard,"Mustard (or yellow sauce) is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta ; brown or Indian mustard, Brassica juncea ; or black mustard, B. nigra ).","Mustard is made from the seeds of a mustard plant mixed with water, vinegar, lemon juice, wine, or other liquids, salt, and often other flavorings and spices.",2.8538065719999395,2.9769224179999583,0,0,1.0,0.8349283984002579,0.3486598781003672,0.9999999999,1.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,what were 3 important things that douglas MacArthur did?,"He officially accepted Japan's surrender on 2 September 1945, and oversaw the occupation of Japan from 1945 to 1951.",I cannot answer from the provided context.,3.059154985999612,5.942385608999757,0,0,0.0,0.0,0.1231864002159171,0.0,0.0,True
